ID,Edge,R2,R4,ep,as,J,Je,ep1,ep2,ti,to,R1,R3,R5,t1,t2,t3,t4,Convection,Radiation,‚‘t,SAT,ar,ƒ°R
1979,Hoka,0.08931,4.92555,0.78229,0.67633,352.4599,106.62383,0.70776,0.49486,11.63142,38.72182,0.04,0.036570917,0.11,45.1994336,44.61859481,44.38075126,12.3468188,5.946088748,0.557536726,6.503625474,45.45957862,2.344132209,5.201430917
1980,Hoka,0.07644,1.5202,0.4037,0.98601,795.0757,71.23649,0.22203,0.56822,14.36,28.91097,0.04,0.038337975,0.11,60.68363673,58.65439691,57.63664513,17.28015149,25.44379434,1.103037423,26.54683176,61.74551,1.083798085,1.784977975
1981,Hoka,0.02057,6.2069,0.76793,0.74814,922.46549,147.54725,0.86174,0.59591,39.3719,37.29182,0.04,0.035583489,0.11,62.22781748,62.15404652,62.02643214,39.76639707,3.190359568,0.395977424,3.586336992,62.37127096,3.102921594,6.413053489
1982,Hoka,0.05898,2.48511,0.24803,0.21876,102.14956,0.28544,0.23399,0.20944,8.60559,4.00404,0.04,0.038897146,0.11,5.025710752,5.104114869,5.155822165,8.459363265,-1.292682408,-0.036651545,-1.329333953,4.972537394,0.708827336,2.732987146
1983,Hoka,0.0705,1.6059,0.50556,0.28728,238.85589,104.73129,0.58792,0.9318,-4.10937,22.18364,0.04,0.035441341,0.11,22.28544948,21.26404617,20.75057238,-2.515691078,12.83684495,1.65114525,14.4879902,22.86496909,3.215636819,1.861841341
1984,Hoka,0.03502,2.28222,0.76449,0.42161,277.09745,90.46806,0.13959,0.68372,-3.71257,-12.36891,0.04,0.038837907,0.11,-10.1914255,-10.0994213,-9.997386731,-4.001560912,-2.550864151,-0.076325962,-2.627190113,-10.2965131,0.748040249,2.506077907
1985,Hoka,0.00209,2.45001,0.67024,0.21316,375.02246,98.59829,0.36405,0.09956,-7.01793,20.37275,0.04,0.03924057,0.11,20.55123067,20.52908073,20.11320686,-5.852143517,10.39684673,0.20121221,10.59805894,20.97515303,0.483829894,2.64134057
1986,Hoka,0.02577,1.97452,0.06538,0.34037,702.40829,58.185,0.55081,0.86096,2.80244,23.40995,0.04,0.03586078,0.11,33.07505768,32.71155789,32.20572219,4.354049503,12.6458926,1.459648333,14.10554093,33.63927932,2.885617447,2.18615078
1987,Hoka,0.02805,3.24622,0.77858,0.36596,327.57109,73.31325,0.09504,0.59663,7.27697,22.02691,0.04,0.039201149,0.11,24.55536261,24.41379316,24.21594343,7.832144296,4.946243307,0.100795751,5.047039059,24.75724417,0.509456092,3.463471149
1988,Hoka,0.08113,3.17946,0.43269,0.90314,803.44906,6.84502,0.02492,0.7591,6.24644,3.24231,0.04,0.039775586,0.11,34.33310954,33.66494906,33.33737018,7.152364474,8.189472054,0.046204982,8.235677036,34.66253662,0.14104994,3.450365586
